id,name,gender,DOB,MaritalStatus,CreditCardType
1,Damaris,Female,1973-02-18,false,visa-electron
2,Barbe,Female,1969-04-10,true,americanexpress
3,Belia,Female,1960-04-16,false,maestro
4,Leoline,Female,1995-01-19,true,bankcard
5,Valentine,Female,1992-04-16,false,maestro
6,Rosanne,Female,1985-01-05,true,bankcard
7,Shalna,Female,1956-11-01,false,jcb
8,Mordy,Male,1990-03-27,true,china-unionpay
9,Damaris,Female,1973-02-18,false,visa-electron
10,Barbe,Female,1969-04-10,true,americanexpress
11,Belia,Male,1960-04-16,false,maestro
12,Leoline,Female,1995-01-19,true,bankcard
13,Dana,Female,1992-04-16,false,maestro
14,Fox,Dog,1985-01-05,true,bankcard
15,Donna,Female,1956-11-01,false,jcb
16,Dave,Male,1990-03-27,true,china-unionpay
17,Emily,Female,1985-01-05,true,bankcard
18,Toki,Female,1956-10-01,false,jcb
19,Eno,Male,1991-04-27,true,china-unionpay
20,Blue,Dog,1985-01-05,true,bankcard
30,Blue,Female,1984-01-05,true,bankcard
31,Belia,Female,1952-04-16,false,maestro
32,Leoline,Male,1995-01-19,true,bankcard
33,Dana,Female,1992-04-16,false,jcb
34,Fox,Female,1985-01-05,true,bankcard
35,Donna,Female,1956-11-01,false,jcb
36,Dave,Male,1990-03-27,true,china-unionpay
37,Emily,Female,1985-01-05,true,bankcard
38,Toki,Female,1956-10-01,false,jcb
39,Eno,Dog,1990-04-30,true,china-unionpay
40,Gold,Female,1985-01-22,true,bankcard
41,Grey,Female,1960-04-21,false,maestro
42,GoldenRod,Female,1995-01-12,true,bankcard
43,White,Female,1992-04-15,false,jcb
44,Black,Dog,1985-01-13,true,bankcard
45,Yellow,Male,1956-11-11,false,jcb
46,Purple,Male,1990-03-11,true,china-unionpay
47,Pink,Female,1985-01-12,true,bankcard
48,Brown,Female,1956-11-14,false,jcb
49,Green,Male,1990-03-11,true,china-unionpay
50,Red,Male,1985-02-30,true,bankcard
51,Damaris,Male,1977-03-28,false,visa-electron
